figure_key,source_path,path,caption,model_scope,claim_role,copied,robustness_scope,required_for_report,selected_metric_set
base_01_evidence_chain,results/platform_runs/task_a_n4_lp11x_like_camera_two_lobe/outputs/final_result_report/figures/01_evidence_chain.png,Demo for user/2026-05-22_task_a_n4_lp11x_like_camera_two_lobe/results/final_status_report_with_rsoft_bpm/figures/base_01_evidence_chain.png,Original LP11x feasibility evidence chain before the RSoft/BPM addendum; use together with the updated BPM section.,Lumerical FDE/EME + COMSOL retained-basis,existing_final_status_evidence,True,deferred,,
base_02_structure_jones_architecture,results/platform_runs/task_a_n4_lp11x_like_camera_two_lobe/outputs/final_result_report/figures/02_structure_jones_architecture.png,Demo for user/2026-05-22_task_a_n4_lp11x_like_camera_two_lobe/results/final_status_report_with_rsoft_bpm/figures/base_02_structure_jones_architecture.png,Selected p46/SCF86 Jones-polarization architecture and geometry used by the Lumerical/COMSOL feasibility chain.,Lumerical FDE/EME + COMSOL retained-basis,existing_final_status_evidence,True,deferred,,
base_03_solver_stage_metrics,results/platform_runs/task_a_n4_lp11x_like_camera_two_lobe/outputs/final_result_report/figures/03_solver_stage_metrics.png,Demo for user/2026-05-22_task_a_n4_lp11x_like_camera_two_lobe/results/final_status_report_with_rsoft_bpm/figures/base_03_solver_stage_metrics.png,"Solver-stage metrics for retained-FDE, Lumerical EME, and COMSOL before adding the RSoft/BPM row.",Lumerical FDE/EME + COMSOL retained-basis,existing_final_status_evidence,True,deferred,,
base_04_modal_decomposition,results/platform_runs/task_a_n4_lp11x_like_camera_two_lobe/outputs/final_result_report/figures/04_modal_decomposition.png,Demo for user/2026-05-22_task_a_n4_lp11x_like_camera_two_lobe/results/final_status_report_with_rsoft_bpm/figures/base_04_modal_decomposition.png,LP11x/LP11y-like modal decomposition and cross-solver orientation-convention evidence.,Lumerical FDE/EME + COMSOL retained-basis,existing_final_status_evidence,True,deferred,,
base_05_deferred_risk_matrix,results/platform_runs/task_a_n4_lp11x_like_camera_two_lobe/outputs/final_result_report/figures/05_deferred_risk_matrix.png,Demo for user/2026-05-22_task_a_n4_lp11x_like_camera_two_lobe/results/final_status_report_with_rsoft_bpm/figures/base_05_deferred_risk_matrix.png,"Deferred robustness, eta optimization, strict cross-solver orientation convention, and fabrication/experiment risk matrix.",Lumerical FDE/EME + COMSOL retained-basis,existing_final_status_evidence,True,deferred,,
06_smf_jones_input_summary,results/platform_runs/task_a_n4_lp11x_like_camera_two_lobe/outputs/eme_jones_feasibility/fde_p46_s86_w85_f18_scf160_butt_cell1_remap_with_polarization/figures/smf_jones_input_summary.png,Demo for user/2026-05-22_task_a_n4_lp11x_like_camera_two_lobe/results/final_status_report_with_rsoft_bpm/figures/06_smf_jones_input_summary.png,SMF Jones input summary from the EME-aware passing input. This documents the 4 physical cores x 2 polarization-channel architecture.,Lumerical EME/COMSOL/retained-FDE supplemental evidence,supplemental_required_report_evidence,True,deferred,,
07_smf_jones_input_amplitude,results/platform_runs/task_a_n4_lp11x_like_camera_two_lobe/outputs/eme_jones_feasibility/fde_p46_s86_w85_f18_scf160_butt_cell1_remap_with_polarization/figures/smf_jones_input_amplitude.png,Demo for user/2026-05-22_task_a_n4_lp11x_like_camera_two_lobe/results/final_status_report_with_rsoft_bpm/figures/07_smf_jones_input_amplitude.png,Per-channel Jones input amplitude. This supports reproducibility of the phase-amplitude-polarization control vector.,Lumerical EME/COMSOL/retained-FDE supplemental evidence,supplemental_required_report_evidence,True,deferred,,
08_smf_jones_input_phase,results/platform_runs/task_a_n4_lp11x_like_camera_two_lobe/outputs/eme_jones_feasibility/fde_p46_s86_w85_f18_scf160_butt_cell1_remap_with_polarization/figures/smf_jones_input_phase.png,Demo for user/2026-05-22_task_a_n4_lp11x_like_camera_two_lobe/results/final_status_report_with_rsoft_bpm/figures/08_smf_jones_input_phase.png,Per-channel Jones input phase. This is part of the reproducible EME-aware input definition.,Lumerical EME/COMSOL/retained-FDE supplemental evidence,supplemental_required_report_evidence,True,deferred,,
09_smf_jones_input_polarization,results/platform_runs/task_a_n4_lp11x_like_camera_two_lobe/outputs/eme_jones_feasibility/fde_p46_s86_w85_f18_scf160_butt_cell1_remap_with_polarization/figures/smf_jones_input_polarization.png,Demo for user/2026-05-22_task_a_n4_lp11x_like_camera_two_lobe/results/final_status_report_with_rsoft_bpm/figures/09_smf_jones_input_polarization.png,Per-core polarization state for the locked Jones input. This figure makes clear that the current pass requires polarization degrees of freedom.,Lumerical EME/COMSOL/retained-FDE supplemental evidence,supplemental_required_report_evidence,True,deferred,,
10_smf_input_amplitude_phase,results/platform_runs/task_a_n4_lp11x_like_camera_two_lobe/outputs/target_mode_proof_p46_s86_w85_f18_scf160_best/fde/field_packet/01_smf_input_amplitude_phase.png,Demo for user/2026-05-22_task_a_n4_lp11x_like_camera_two_lobe/results/final_status_report_with_rsoft_bpm/figures/10_smf_input_amplitude_phase.png,Retained-FDE field packet: SMF input-plane amplitude and phase for the selected proof row.,Lumerical EME/COMSOL/retained-FDE supplemental evidence,supplemental_required_report_evidence,True,deferred,,
11_scf_z0_amplitude_phase,results/platform_runs/task_a_n4_lp11x_like_camera_two_lobe/outputs/target_mode_proof_p46_s86_w85_f18_scf160_best/fde/field_packet/02_scf_z0_amplitude_phase.png,Demo for user/2026-05-22_task_a_n4_lp11x_like_camera_two_lobe/results/final_status_report_with_rsoft_bpm/figures/11_scf_z0_amplitude_phase.png,Retained-FDE field packet: SCF entrance plane at z=0. This links the SMF input to the SCF retained-basis propagation model.,Lumerical EME/COMSOL/retained-FDE supplemental evidence,supplemental_required_report_evidence,True,deferred,,
12_scf_zL_amplitude_phase,results/platform_runs/task_a_n4_lp11x_like_camera_two_lobe/outputs/target_mode_proof_p46_s86_w85_f18_scf160_best/fde/field_packet/03_scf_zL_amplitude_phase.png,Demo for user/2026-05-22_task_a_n4_lp11x_like_camera_two_lobe/results/final_status_report_with_rsoft_bpm/figures/12_scf_zL_amplitude_phase.png,Retained-FDE field packet: SCF output plane at the selected length. This is the MMI propagation endpoint before FMF projection/interface evidence.,Lumerical EME/COMSOL/retained-FDE supplemental evidence,supplemental_required_report_evidence,True,deferred,,
