requirement_id,requirement,status,evidence,deferred_reason
0_overview_evidence_chain,"End-to-end evidence chain with solver pass/fail, scope, and source paths.",complete_current_status,base_01_evidence_chain plus refreshed key metrics and artifact index,
1_structure_architecture,SMF/SCF/FMF geometry plus 4 core x 2 Jones polarization architecture.,complete_current_status,base_02_structure_jones_architecture; RSoft BPM geometry; Jones input figures,
2_cross_section_field_panels,"SMF input, SCF z=0, SCF z=L, and FMF output amplitude/phase panels.",complete_current_status,retained-FDE field packet figures 10-15 plus RSoft final-field panels,
3_modal_decomposition,Modal/group power and LP11x/LP11y decomposition figures.,complete_current_status,base_04_modal_decomposition and RSoft modal power bars,
4_mmi_gain_length,Length/MMI evidence and L=0 comparison.,complete_current_status,20_length_mmi_gain_and_solver_reconciliation plus RSoft direct L=0 delta_eta evidence,Full global length/geometry optimization remains deferred by task scope; current-status MMI evidence is covered.
5_scf_propagation,SCF propagation/tangential or longitudinal field evidence.,complete_current_status,retained-FDE SCF z=0/z=L panels and RSoft longitudinal monitor,
6_basis_convergence,Mode-count/basis convergence and Gram diagnostics.,complete_current_status,22_lumerical_basis_validation_summary and copied SMF/SCF/FMF Gram heatmaps,Expanded robust convergence sweeps remain future work; current SCF160/FMF12 basis evidence is plotted.
7_input_control,"Per-SMF and Jones input amplitude, phase, power, and polarization.",complete_current_status,Jones input summary/amplitude/phase/polarization figures and input CSVs,
8_solver_interface_evidence,"Lumerical FDE/EME, COMSOL, and RSoft/BPM solver evidence.",complete_current_status,"EME output intensity, COMSOL output figures, RSoft BPM figures and manifests",
9_robustness_tolerance,"Robustness/tolerance plots for robust-final claims, or explicit deferred-risk record.",deferred_recorded,base_05_deferred_risk_matrix and 29_revised_gate_robustness_deferred_summary,Robustness optimization is intentionally deferred for this feasibility/current-status report.
